Model,Accuracy,Precision,Recall,F1 Score,Training Time (sec)
Logistic Regression,0.9851973684210527,0.9836198884758365,0.988096627377757,0.9858531757582815,0.3144693374633789
Linear SVM,0.9920808966861598,0.9910392179681136,0.9938149142256972,0.9924251252767743,1.2666714191436768
Random Forest,0.9859283625730995,0.9864644107351225,0.9865795308670791,0.9865219674426746,25.357640981674194
