feature_name
character_count
word_count
line_count
uppercase_count
exclamation_count
question_count
dollar_count
digit_count
urgency_count
threat_count
credential_count
financial_count
suspicious_request_count
url_count
total_url_length
max_url_length
ip_url_count
suspicious_tld_count
shortened_url_count
https_url_count
subdomain_total
suspicious_character_total
html_tag_count
href_count
form_count
script_count
iframe_count
hidden_element_count
has_html
has_attachment_word
has_email_address
